,id,name,sku,price,list_price,discount,discount_rate,inventory_status,all_time_quantity_sold,max_sale_qty,qty,brand_id,brand_name
1366,124742926,MacBook Air M1 13 inch 2020,4409272649267,19110000,24990000,5880000,24,available,2725,1000.0,1000.0,17827,Apple
1367,134641513,USB SanDisk CZ600 - USB 3.0 - Hàng Chính Hãng,7852178945715,82000,82000,0,0,available,1630,1000.0,1000.0,18845,SanDisk
1368,416978,Bộ Chuyển Đổi USB Wifi Nano TP-Link TL-WN725N Chuẩn N 150Mbps - Hàng Chính Hãng,7504604440345,119000,239000,120000,50,available,935,1000.0,1000.0,27464,TP-Link
1369,419322,Máy In Laser Đơn Năng Canon LBP 6030W Wifi - Hàng chính hãng,8509998773863,2950000,4400000,1450000,33,available,2221,1000.0,1000.0,18806,Canon
1370,12477248,Dây cáp mạng bấm sẵn đầu (tặng đầu nối mạng),2371953332653,23000,23000,0,0,available,7,1000.0,1000.0,111461,OEM
1371,74573141,Bộ Phát Wifi TP-Link Archer AX10 Wifi 6 1500Mbps - Hàng Chính Hãng,5037111393191,1199000,2398000,1199000,50,available,976,1000.0,1000.0,27464,TP-Link
1372,17967481,Bộ Kích Sóng Wifi Xiaomi Repeater Pro - Hàng Nhập Khẩu,9823030367490,225000,299000,74000,25,available,2422,1000.0,1000.0,25422,Xiaomi
1373,76030024,Bộ Chuyển Đổi USB Wifi TP-Link Archer T2U Nano Băng Tần Kép AC600 - Hàng Chính Hãng,5855681709477,219000,329000,110000,33,available,2137,1000.0,1000.0,27464,TP-Link
1374,65107101,Ổ Cứng Di Động SSD Samsung T7 NON Touch USB Type C - Hàng Nhập Khẩu - 1TB,2928931768661,2450000,2450000,0,0,available,249,1000.0,1000.0,18802,Samsung
1375,806744,USB Team Taiwan C171 8GB - Hàng Chính Hãng,6106897573864,72000,100000,28000,28,available,1398,1000.0,1000.0,111460,TEAM
1376,416911,TP-Link  TL-WN823N - USB Wifi chuẩn N tốc độ 300Mbps - Hàng Chính Hãng,7505896127457,139000,259000,120000,46,available,184,1000.0,1000.0,27464,TP-Link
1377,73312665,(Giá Hủy Diệt) Ổ cứng di động External SSD SanDisk Extreme E61 Portable USB Type C 3.2 Gen 2 - Hàng Nhập Khẩu,1506698541287,1880000,1988000,108000,5,available,352,1000.0,1000.0,18845,SanDisk
1378,68600962,"Hộp đựng ổ cứng HDD/SSD 2.5"" QGeeM Gen2|cổng USB C/3.1, Type C to SATA|SATA I II III, PS4 hỗ trợ UASP tốc độ cao 6Gbps kèm cáp Type C to USB A-Hàng Chính Hãng",4775530853469,199000,455000,256000,56,available,383,1000.0,1000.0,505907,QGeeM
1379,97346988,Màn hình Xiaomi Monitor 1C BHR4510GL 23.8 inch - Hàng Chính Hãng,9710091336814,2890000,4110000,1220000,30,available,1516,1000.0,1000.0,25422,Xiaomi
1380,53181542,"Hộp mực 326, 328 dùng cho máy in Canon LBP 6200, 6200d, 6230dn, MF 4820d, 4412, 4450, 4720w, 4870, mf4750, mf4700, D500, D520, L170,...",9620642142480,123000,123000,0,0,available,848,1000.0,1000.0,111461,OEM
1381,709035,Bộ Chia Mạng 8 Cổng Mercusys MS108 (10/100Mbps) - Hàng Chính Hãng,7505742519917,159000,199000,40000,20,available,87,1000.0,1000.0,112149,Mercusys
1382,32246331,"Hộp mực TN 2385, TN 2325 dùng cho máy in Brother HL-L2321D, HL-2361DN, HL-2366DW, MFC-L2701D, MFC-L2701DW (hàng nhập khẩu 100%)",4645509166879,113900,113900,0,0,available,1019,1000.0,1000.0,111461,OEM
1383,67619329,KEO Tản Nhiệt Cooler Master Mastergel Pro V2 - Hàng Chính Hãng,9813910844135,97000,108000,11000,10,available,1074,1000.0,1000.0,18991,Cooler Master
1384,74561661,Bộ Chuyển Đổi USB Wifi TP-Link TL-WN727N Chuẩn N 150Mbps - Hàng Chính Hãng,3939315874143,129000,239000,110000,46,available,726,1000.0,1000.0,27464,TP-Link
1385,9979633,Sạc dành cho Laptop Dell chân kim nhỏ 19.5V - 4.62A- 90w,3087320618730,220000,220000,0,0,available,212,1000.0,1000.0,111461,OEM
1386,110055062,"Dây cáp sata 3 dành cho ổ cứng HDD, SSD",8306149972608,28420,29000,580,2,available,288,1000.0,1000.0,111461,OEM
1387,53704413,"Hộp mực Dành Cho máy in Canon LBP 2900, 3000",9028918740765,114500,114500,0,0,available,3469,1000.0,1000.0,111461,OEM
1388,44012580,RAM Laptop Samsung 8GB DDR4 Bus 3200 - Hàng Nhập Khẩu,3732052764513,500000,600000,100000,17,available,884,1000.0,1000.0,18802,Samsung
1389,44012841,RAM Laptop Samsung 16GB DDR4 Bus 3200 - Hàng Nhập Khẩu,7390783501744,1300000,1300000,0,0,available,258,1000.0,1000.0,18802,Samsung
1390,136981085,USB 3.2 Gen 1 Kioxia U301 64GB - Hàng Nhập Khẩu,9438691022719,125000,125000,0,0,available,101,1000.0,1000.0,927055,KIOXIA
1391,15215426,"Dây nguồn máy tính, dây nguồn PC dài 1.5-2m, dây nguồn lõi đồng tương thích với đồ gia dụng",2246906377244,50000,50000,0,0,available,408,1000.0,1000.0,111461,OEM
1392,138481685,Phần mềm Microsoft 365 Family English APAC EM Subscr 1YR Medialess P8 (6GQ-01555) - Hàng Chính Hãng,5057438857877,1490000,1490000,0,0,available,2727,1000.0,1000.0,19246,Microsoft
1393,187392403,(Giá Hủy Diệt) Ổ Cứng Di Động SSD Samsung T7 Shield USB 3.2 Gen 2 - Hàng Nhập Khẩu,4144057953384,2249000,2500000,251000,10,available,143,1000.0,1000.0,18802,Samsung
1394,74311543,Bộ Phát Wifi Mesh TP-Link Deco E4 (3-pack) Băng Tần Kép MU-MIMO AC1200 - Hàng Chính Hãng,9563110588437,1799000,3499000,1700000,49,available,321,1000.0,1000.0,27464,TP-Link
1395,10001369,RAM Laptop Samsung 8GB DDR4 2666MHz SODIMM - Hàng Nhập Khẩu,6222566607927,450000,540000,90000,17,available,957,1000.0,1000.0,18802,Samsung
1396,38323087,(Giá Hủy Diệt) Ổ Cứng Di Động HDD WD My Passport 1TB / 2TB / 4TB / 5TB Model 2019 - Hàng Nhập Khẩu,9386902161867,1385000,1390000,5000,0,available,2244,1000.0,1000.0,21862,WD
1397,26314426,Dây Cáp Mạng Cat6 Bấm Sẵn 2 đầu,9365508570174,75000,75000,0,0,available,1120,1000.0,1000.0,111461,OEM
1398,134561311,USB 3.0 SanDisk Ultra Flair CZ73 - Hàng Nhập Khẩu,8367091212771,110000,110000,0,0,available,9979,1000.0,1000.0,18845,SanDisk
1399,8608925,Hộp mực dành cho máy in Laser Brother HL-L2321D.,6460064428402,111900,111900,0,0,available,2638,1000.0,1000.0,111461,OEM
1400,46634155,Dây Cáp Mạng Cat6 Bấm Sẵn 2 đầu,7172023663098,48000,48000,0,0,available,490,1000.0,1000.0,111461,OEM
1401,173164642,Dây cáp mạng LAN bấm sẵn 2 đầu Cat6 UTP Kingmaster - Hàng chính hãng,8745709331527,50000,50000,0,0,available,297,1000.0,1000.0,195495,Kingmaster
1402,217317583,Box Orico Đựng Ổ Cứng HDD/SSD 2.5 inch 2520C3 - Hàng Nhập Khẩu,3771762210965,97000,100000,3000,3,available,255,1000.0,1000.0,110682,Orico
1403,171869909,Dây mạng bấm sẵn chuẩn Cat7 Kingmaster - Hàng chính hãng,8959674772457,90000,90000,0,0,available,353,1000.0,1000.0,195495,Kingmaster
1404,216462048,Box đựng ổ cứng Orico SSD M2 PCIe NVMe To USB 3.1 Gen 2 Type C Aluminum M2PJ C3 - Hàng nhập khẩu,5472671799437,350000,350000,0,0,available,142,1000.0,1000.0,110682,Orico
1405,21089128,Bộ Thu Wifi USB TP-Link TL-WN722N Chuẩn N 150Mbps - Hàng Chính Hãng,9411825928607,155000,279000,124000,44,available,726,1000.0,1000.0,27464,TP-Link
1406,74975883,Bộ Phát Wifi TP-Link Archer C54 Băng Tần Kép Chuẩn AC1200 - Hàng Chính Hãng,8856697508143,409000,858000,449000,52,available,4325,1000.0,1000.0,27464,TP-Link
1407,54439144,Bộ Chuyển Đổi USB Wifi TP-Link Archer T2U Plus Công Suất Cao AC600 - Hàng Chính Hãng,1416843001118,249000,349000,100000,29,available,2917,1000.0,1000.0,27464,TP-Link
1408,52373199,"Hộp mực in 337 dùng cho máy in Canon MF211, MF221D, LBP252DW, MF215, MF241D,... - CRG 337",3881519247219,117700,117700,0,0,available,2312,1000.0,1000.0,111461,OEM
1409,160440903,USB Kingston 32GB DataTraveler Exodia(DTX/32GB) - Hàng chính hãng ,2431616848892,82000,82000,0,0,available,1696,1000.0,1000.0,19073,Kingston
1410,25319983, USB 3.1 SanDisk Ultra Luxe CZ74 - 128GB (Hàng Nhập Khẩu),5552073151752,230000,230000,0,0,available,378,1000.0,1000.0,18845,SanDisk
1411,24255305,Dây Cáp Mạng đầu CAT5 Bấm Sẵn 2,1724536242473,26990,26990,0,0,available,703,1000.0,1000.0,111461,OEM
1412,174029994,USB Kingston 64GB DataTraveler Exodia(DTX/64GB) - Hàng chính hãng,6692827442616,109000,109000,0,0,available,389,1000.0,1000.0,19073,Kingston
1413,53254176,Mực in Dành Cho Máy Canon 2900 - Hộp mực 12A,8713118357806,114900,114900,0,0,available,2978,1000.0,1000.0,111461,OEM
1414,124742926,MacBook Air M1 13 inch 2020,4409272649267,19110000,24990000,5880000,24,available,2725,1000.0,1000.0,17827,Apple
1415,134641513,USB SanDisk CZ600 - USB 3.0 - Hàng Chính Hãng,7852178945715,82000,82000,0,0,available,1630,1000.0,1000.0,18845,SanDisk
1416,416978,Bộ Chuyển Đổi USB Wifi Nano TP-Link TL-WN725N Chuẩn N 150Mbps - Hàng Chính Hãng,7504604440345,119000,239000,120000,50,available,935,1000.0,1000.0,27464,TP-Link
1417,419322,Máy In Laser Đơn Năng Canon LBP 6030W Wifi - Hàng chính hãng,8509998773863,2950000,4400000,1450000,33,available,2221,1000.0,1000.0,18806,Canon
1418,12477248,Dây cáp mạng bấm sẵn đầu (tặng đầu nối mạng),2371953332653,23000,23000,0,0,available,7,1000.0,1000.0,111461,OEM
1419,74573141,Bộ Phát Wifi TP-Link Archer AX10 Wifi 6 1500Mbps - Hàng Chính Hãng,5037111393191,1199000,2398000,1199000,50,available,976,1000.0,1000.0,27464,TP-Link
1420,17967481,Bộ Kích Sóng Wifi Xiaomi Repeater Pro - Hàng Nhập Khẩu,9823030367490,225000,299000,74000,25,available,2422,1000.0,1000.0,25422,Xiaomi
1421,138481685,Phần mềm Microsoft 365 Family English APAC EM Subscr 1YR Medialess P8 (6GQ-01555) - Hàng Chính Hãng,5057438857877,1490000,1490000,0,0,available,2727,1000.0,1000.0,19246,Microsoft
1422,187392403,(Giá Hủy Diệt) Ổ Cứng Di Động SSD Samsung T7 Shield USB 3.2 Gen 2 - Hàng Nhập Khẩu,4144057953384,2249000,2500000,251000,10,available,143,1000.0,1000.0,18802,Samsung
1423,74311543,Bộ Phát Wifi Mesh TP-Link Deco E4 (3-pack) Băng Tần Kép MU-MIMO AC1200 - Hàng Chính Hãng,9563110588437,1799000,3499000,1700000,49,available,321,1000.0,1000.0,27464,TP-Link
1424,10001369,RAM Laptop Samsung 8GB DDR4 2666MHz SODIMM - Hàng Nhập Khẩu,6222566607927,450000,540000,90000,17,available,957,1000.0,1000.0,18802,Samsung
1425,38323087,(Giá Hủy Diệt) Ổ Cứng Di Động HDD WD My Passport 1TB / 2TB / 4TB / 5TB Model 2019 - Hàng Nhập Khẩu,9386902161867,1385000,1390000,5000,0,available,2244,1000.0,1000.0,21862,WD
1426,26314426,Dây Cáp Mạng Cat6 Bấm Sẵn 2 đầu,9365508570174,75000,75000,0,0,available,1120,1000.0,1000.0,111461,OEM
1427,134561311,USB 3.0 SanDisk Ultra Flair CZ73 - Hàng Nhập Khẩu,8367091212771,110000,110000,0,0,available,9979,1000.0,1000.0,18845,SanDisk
1428,8608925,Hộp mực dành cho máy in Laser Brother HL-L2321D.,6460064428402,111900,111900,0,0,available,2638,1000.0,1000.0,111461,OEM
1429,46634155,Dây Cáp Mạng Cat6 Bấm Sẵn 2 đầu,7172023663098,48000,48000,0,0,available,490,1000.0,1000.0,111461,OEM
1430,173164642,Dây cáp mạng LAN bấm sẵn 2 đầu Cat6 UTP Kingmaster - Hàng chính hãng,8745709331527,50000,50000,0,0,available,297,1000.0,1000.0,195495,Kingmaster
1431,217317583,Box Orico Đựng Ổ Cứng HDD/SSD 2.5 inch 2520C3 - Hàng Nhập Khẩu,3771762210965,97000,100000,3000,3,available,255,1000.0,1000.0,110682,Orico
1432,171869909,Dây mạng bấm sẵn chuẩn Cat7 Kingmaster - Hàng chính hãng,8959674772457,90000,90000,0,0,available,353,1000.0,1000.0,195495,Kingmaster
1433,216462048,Box đựng ổ cứng Orico SSD M2 PCIe NVMe To USB 3.1 Gen 2 Type C Aluminum M2PJ C3 - Hàng nhập khẩu,5472671799437,350000,350000,0,0,available,142,1000.0,1000.0,110682,Orico
1434,21089128,Bộ Thu Wifi USB TP-Link TL-WN722N Chuẩn N 150Mbps - Hàng Chính Hãng,9411825928607,155000,279000,124000,44,available,726,1000.0,1000.0,27464,TP-Link
1435,74975883,Bộ Phát Wifi TP-Link Archer C54 Băng Tần Kép Chuẩn AC1200 - Hàng Chính Hãng,8856697508143,409000,858000,449000,52,available,4325,1000.0,1000.0,27464,TP-Link
1436,54439144,Bộ Chuyển Đổi USB Wifi TP-Link Archer T2U Plus Công Suất Cao AC600 - Hàng Chính Hãng,1416843001118,249000,349000,100000,29,available,2917,1000.0,1000.0,27464,TP-Link
1437,52373199,"Hộp mực in 337 dùng cho máy in Canon MF211, MF221D, LBP252DW, MF215, MF241D,... - CRG 337",3881519247219,117700,117700,0,0,available,2312,1000.0,1000.0,111461,OEM
1438,160440903,USB Kingston 32GB DataTraveler Exodia(DTX/32GB) - Hàng chính hãng ,2431616848892,82000,82000,0,0,available,1696,1000.0,1000.0,19073,Kingston
1439,25319983, USB 3.1 SanDisk Ultra Luxe CZ74 - 128GB (Hàng Nhập Khẩu),5552073151752,230000,230000,0,0,available,378,1000.0,1000.0,18845,SanDisk
1440,24255305,Dây Cáp Mạng đầu CAT5 Bấm Sẵn 2,1724536242473,26990,26990,0,0,available,703,1000.0,1000.0,111461,OEM
1441,174029994,USB Kingston 64GB DataTraveler Exodia(DTX/64GB) - Hàng chính hãng,6692827442616,109000,109000,0,0,available,389,1000.0,1000.0,19073,Kingston
1442,53254176,Mực in Dành Cho Máy Canon 2900 - Hộp mực 12A,8713118357806,114900,114900,0,0,available,2978,1000.0,1000.0,111461,OEM
1443,124742926,MacBook Air M1 13 inch 2020,4409272649267,19110000,24990000,5880000,24,available,2725,1000.0,1000.0,17827,Apple
1444,134641513,USB SanDisk CZ600 - USB 3.0 - Hàng Chính Hãng,7852178945715,82000,82000,0,0,available,1630,1000.0,1000.0,18845,SanDisk
1445,416978,Bộ Chuyển Đổi USB Wifi Nano TP-Link TL-WN725N Chuẩn N 150Mbps - Hàng Chính Hãng,7504604440345,119000,239000,120000,50,available,935,1000.0,1000.0,27464,TP-Link
1446,419322,Máy In Laser Đơn Năng Canon LBP 6030W Wifi - Hàng chính hãng,8509998773863,2950000,4400000,1450000,33,available,2221,1000.0,1000.0,18806,Canon
1447,12477248,Dây cáp mạng bấm sẵn đầu (tặng đầu nối mạng),2371953332653,23000,23000,0,0,available,7,1000.0,1000.0,111461,OEM
1448,74573141,Bộ Phát Wifi TP-Link Archer AX10 Wifi 6 1500Mbps - Hàng Chính Hãng,5037111393191,1199000,2398000,1199000,50,available,976,1000.0,1000.0,27464,TP-Link
1449,17967481,Bộ Kích Sóng Wifi Xiaomi Repeater Pro - Hàng Nhập Khẩu,9823030367490,225000,299000,74000,25,available,2422,1000.0,1000.0,25422,Xiaomi
1450,76030024,Bộ Chuyển Đổi USB Wifi TP-Link Archer T2U Nano Băng Tần Kép AC600 - Hàng Chính Hãng,5855681709477,219000,329000,110000,33,available,2137,1000.0,1000.0,27464,TP-Link
1451,65107101,Ổ Cứng Di Động SSD Samsung T7 NON Touch USB Type C - Hàng Nhập Khẩu - 1TB,2928931768661,2450000,2450000,0,0,available,249,1000.0,1000.0,18802,Samsung
1452,806744,USB Team Taiwan C171 8GB - Hàng Chính Hãng,6106897573864,72000,100000,28000,28,available,1398,1000.0,1000.0,111460,TEAM
1453,416911,TP-Link  TL-WN823N - USB Wifi chuẩn N tốc độ 300Mbps - Hàng Chính Hãng,7505896127457,139000,259000,120000,46,available,184,1000.0,1000.0,27464,TP-Link
1454,73312665,(Giá Hủy Diệt) Ổ cứng di động External SSD SanDisk Extreme E61 Portable USB Type C 3.2 Gen 2 - Hàng Nhập Khẩu,1506698541287,1880000,1988000,108000,5,available,352,1000.0,1000.0,18845,SanDisk
1455,68600962,"Hộp đựng ổ cứng HDD/SSD 2.5"" QGeeM Gen2|cổng USB C/3.1, Type C to SATA|SATA I II III, PS4 hỗ trợ UASP tốc độ cao 6Gbps kèm cáp Type C to USB A-Hàng Chính Hãng",4775530853469,199000,455000,256000,56,available,383,1000.0,1000.0,505907,QGeeM
1456,97346988,Màn hình Xiaomi Monitor 1C BHR4510GL 23.8 inch - Hàng Chính Hãng,9710091336814,2890000,4110000,1220000,30,available,1516,1000.0,1000.0,25422,Xiaomi
1457,53181542,"Hộp mực 326, 328 dùng cho máy in Canon LBP 6200, 6200d, 6230dn, MF 4820d, 4412, 4450, 4720w, 4870, mf4750, mf4700, D500, D520, L170,...",9620642142480,123000,123000,0,0,available,848,1000.0,1000.0,111461,OEM
1458,709035,Bộ Chia Mạng 8 Cổng Mercusys MS108 (10/100Mbps) - Hàng Chính Hãng,7505742519917,159000,199000,40000,20,available,87,1000.0,1000.0,112149,Mercusys
1459,32246331,"Hộp mực TN 2385, TN 2325 dùng cho máy in Brother HL-L2321D, HL-2361DN, HL-2366DW, MFC-L2701D, MFC-L2701DW (hàng nhập khẩu 100%)",4645509166879,113900,113900,0,0,available,1019,1000.0,1000.0,111461,OEM
1460,67619329,KEO Tản Nhiệt Cooler Master Mastergel Pro V2 - Hàng Chính Hãng,9813910844135,97000,108000,11000,10,available,1074,1000.0,1000.0,18991,Cooler Master
1461,74561661,Bộ Chuyển Đổi USB Wifi TP-Link TL-WN727N Chuẩn N 150Mbps - Hàng Chính Hãng,3939315874143,129000,239000,110000,46,available,726,1000.0,1000.0,27464,TP-Link
1462,9979633,Sạc dành cho Laptop Dell chân kim nhỏ 19.5V - 4.62A- 90w,3087320618730,220000,220000,0,0,available,212,1000.0,1000.0,111461,OEM
1463,110055062,"Dây cáp sata 3 dành cho ổ cứng HDD, SSD",8306149972608,28420,29000,580,2,available,288,1000.0,1000.0,111461,OEM
1464,53704413,"Hộp mực Dành Cho máy in Canon LBP 2900, 3000",9028918740765,114500,114500,0,0,available,3469,1000.0,1000.0,111461,OEM
1465,44012580,RAM Laptop Samsung 8GB DDR4 Bus 3200 - Hàng Nhập Khẩu,3732052764513,500000,600000,100000,17,available,884,1000.0,1000.0,18802,Samsung
1466,44012841,RAM Laptop Samsung 16GB DDR4 Bus 3200 - Hàng Nhập Khẩu,7390783501744,1300000,1300000,0,0,available,258,1000.0,1000.0,18802,Samsung
1467,136981085,USB 3.2 Gen 1 Kioxia U301 64GB - Hàng Nhập Khẩu,9438691022719,125000,125000,0,0,available,101,1000.0,1000.0,927055,KIOXIA
1468,15215426,"Dây nguồn máy tính, dây nguồn PC dài 1.5-2m, dây nguồn lõi đồng tương thích với đồ gia dụng",2246906377244,50000,50000,0,0,available,408,1000.0,1000.0,111461,OEM
1469,138481685,Phần mềm Microsoft 365 Family English APAC EM Subscr 1YR Medialess P8 (6GQ-01555) - Hàng Chính Hãng,5057438857877,1490000,1490000,0,0,available,2727,1000.0,1000.0,19246,Microsoft
1470,187392403,(Giá Hủy Diệt) Ổ Cứng Di Động SSD Samsung T7 Shield USB 3.2 Gen 2 - Hàng Nhập Khẩu,4144057953384,2249000,2500000,251000,10,available,143,1000.0,1000.0,18802,Samsung
1471,74311543,Bộ Phát Wifi Mesh TP-Link Deco E4 (3-pack) Băng Tần Kép MU-MIMO AC1200 - Hàng Chính Hãng,9563110588437,1799000,3499000,1700000,49,available,321,1000.0,1000.0,27464,TP-Link
1472,10001369,RAM Laptop Samsung 8GB DDR4 2666MHz SODIMM - Hàng Nhập Khẩu,6222566607927,450000,540000,90000,17,available,957,1000.0,1000.0,18802,Samsung
1473,38323087,(Giá Hủy Diệt) Ổ Cứng Di Động HDD WD My Passport 1TB / 2TB / 4TB / 5TB Model 2019 - Hàng Nhập Khẩu,9386902161867,1385000,1390000,5000,0,available,2244,1000.0,1000.0,21862,WD
1474,26314426,Dây Cáp Mạng Cat6 Bấm Sẵn 2 đầu,9365508570174,75000,75000,0,0,available,1120,1000.0,1000.0,111461,OEM
1475,134561311,USB 3.0 SanDisk Ultra Flair CZ73 - Hàng Nhập Khẩu,8367091212771,110000,110000,0,0,available,9979,1000.0,1000.0,18845,SanDisk
1476,8608925,Hộp mực dành cho máy in Laser Brother HL-L2321D.,6460064428402,111900,111900,0,0,available,2638,1000.0,1000.0,111461,OEM
1477,46634155,Dây Cáp Mạng Cat6 Bấm Sẵn 2 đầu,7172023663098,48000,48000,0,0,available,490,1000.0,1000.0,111461,OEM
1478,173164642,Dây cáp mạng LAN bấm sẵn 2 đầu Cat6 UTP Kingmaster - Hàng chính hãng,8745709331527,50000,50000,0,0,available,297,1000.0,1000.0,195495,Kingmaster
1479,217317583,Box Orico Đựng Ổ Cứng HDD/SSD 2.5 inch 2520C3 - Hàng Nhập Khẩu,3771762210965,97000,100000,3000,3,available,255,1000.0,1000.0,110682,Orico
1480,171869909,Dây mạng bấm sẵn chuẩn Cat7 Kingmaster - Hàng chính hãng,8959674772457,90000,90000,0,0,available,353,1000.0,1000.0,195495,Kingmaster
1481,216462048,Box đựng ổ cứng Orico SSD M2 PCIe NVMe To USB 3.1 Gen 2 Type C Aluminum M2PJ C3 - Hàng nhập khẩu,5472671799437,350000,350000,0,0,available,142,1000.0,1000.0,110682,Orico
1482,21089128,Bộ Thu Wifi USB TP-Link TL-WN722N Chuẩn N 150Mbps - Hàng Chính Hãng,9411825928607,155000,279000,124000,44,available,726,1000.0,1000.0,27464,TP-Link
1483,74975883,Bộ Phát Wifi TP-Link Archer C54 Băng Tần Kép Chuẩn AC1200 - Hàng Chính Hãng,8856697508143,409000,858000,449000,52,available,4325,1000.0,1000.0,27464,TP-Link
1484,54439144,Bộ Chuyển Đổi USB Wifi TP-Link Archer T2U Plus Công Suất Cao AC600 - Hàng Chính Hãng,1416843001118,249000,349000,100000,29,available,2917,1000.0,1000.0,27464,TP-Link
1485,52373199,"Hộp mực in 337 dùng cho máy in Canon MF211, MF221D, LBP252DW, MF215, MF241D,... - CRG 337",3881519247219,117700,117700,0,0,available,2312,1000.0,1000.0,111461,OEM
1486,160440903,USB Kingston 32GB DataTraveler Exodia(DTX/32GB) - Hàng chính hãng ,2431616848892,82000,82000,0,0,available,1696,1000.0,1000.0,19073,Kingston
1487,25319983, USB 3.1 SanDisk Ultra Luxe CZ74 - 128GB (Hàng Nhập Khẩu),5552073151752,230000,230000,0,0,available,378,1000.0,1000.0,18845,SanDisk
1488,24255305,Dây Cáp Mạng đầu CAT5 Bấm Sẵn 2,1724536242473,26990,26990,0,0,available,703,1000.0,1000.0,111461,OEM
1489,174029994,USB Kingston 64GB DataTraveler Exodia(DTX/64GB) - Hàng chính hãng,6692827442616,109000,109000,0,0,available,389,1000.0,1000.0,19073,Kingston
1490,53254176,Mực in Dành Cho Máy Canon 2900 - Hộp mực 12A,8713118357806,114900,114900,0,0,available,2978,1000.0,1000.0,111461,OEM
1491,124742926,MacBook Air M1 13 inch 2020,4409272649267,19110000,24990000,5880000,24,available,2725,1000.0,1000.0,17827,Apple
1492,134641513,USB SanDisk CZ600 - USB 3.0 - Hàng Chính Hãng,7852178945715,82000,82000,0,0,available,1630,1000.0,1000.0,18845,SanDisk
1493,416978,Bộ Chuyển Đổi USB Wifi Nano TP-Link TL-WN725N Chuẩn N 150Mbps - Hàng Chính Hãng,7504604440345,119000,239000,120000,50,available,935,1000.0,1000.0,27464,TP-Link
1494,419322,Máy In Laser Đơn Năng Canon LBP 6030W Wifi - Hàng chính hãng,8509998773863,2950000,4400000,1450000,33,available,2221,1000.0,1000.0,18806,Canon
1495,12477248,Dây cáp mạng bấm sẵn đầu (tặng đầu nối mạng),2371953332653,23000,23000,0,0,available,7,1000.0,1000.0,111461,OEM
1496,74573141,Bộ Phát Wifi TP-Link Archer AX10 Wifi 6 1500Mbps - Hàng Chính Hãng,5037111393191,1199000,2398000,1199000,50,available,976,1000.0,1000.0,27464,TP-Link
1497,17967481,Bộ Kích Sóng Wifi Xiaomi Repeater Pro - Hàng Nhập Khẩu,9823030367490,225000,299000,74000,25,available,2422,1000.0,1000.0,25422,Xiaomi
1498,76030024,Bộ Chuyển Đổi USB Wifi TP-Link Archer T2U Nano Băng Tần Kép AC600 - Hàng Chính Hãng,5855681709477,219000,329000,110000,33,available,2137,1000.0,1000.0,27464,TP-Link
1499,65107101,Ổ Cứng Di Động SSD Samsung T7 NON Touch USB Type C - Hàng Nhập Khẩu - 1TB,2928931768661,2450000,2450000,0,0,available,249,1000.0,1000.0,18802,Samsung
1500,806744,USB Team Taiwan C171 8GB - Hàng Chính Hãng,6106897573864,72000,100000,28000,28,available,1398,1000.0,1000.0,111460,TEAM
1501,416911,TP-Link  TL-WN823N - USB Wifi chuẩn N tốc độ 300Mbps - Hàng Chính Hãng,7505896127457,139000,259000,120000,46,available,184,1000.0,1000.0,27464,TP-Link
1502,73312665,(Giá Hủy Diệt) Ổ cứng di động External SSD SanDisk Extreme E61 Portable USB Type C 3.2 Gen 2 - Hàng Nhập Khẩu,1506698541287,1880000,1988000,108000,5,available,352,1000.0,1000.0,18845,SanDisk
1503,68600962,"Hộp đựng ổ cứng HDD/SSD 2.5"" QGeeM Gen2|cổng USB C/3.1, Type C to SATA|SATA I II III, PS4 hỗ trợ UASP tốc độ cao 6Gbps kèm cáp Type C to USB A-Hàng Chính Hãng",4775530853469,199000,455000,256000,56,available,383,1000.0,1000.0,505907,QGeeM
1504,97346988,Màn hình Xiaomi Monitor 1C BHR4510GL 23.8 inch - Hàng Chính Hãng,9710091336814,2890000,4110000,1220000,30,available,1516,1000.0,1000.0,25422,Xiaomi
1505,53181542,"Hộp mực 326, 328 dùng cho máy in Canon LBP 6200, 6200d, 6230dn, MF 4820d, 4412, 4450, 4720w, 4870, mf4750, mf4700, D500, D520, L170,...",9620642142480,123000,123000,0,0,available,848,1000.0,1000.0,111461,OEM
1506,709035,Bộ Chia Mạng 8 Cổng Mercusys MS108 (10/100Mbps) - Hàng Chính Hãng,7505742519917,159000,199000,40000,20,available,87,1000.0,1000.0,112149,Mercusys
1507,32246331,"Hộp mực TN 2385, TN 2325 dùng cho máy in Brother HL-L2321D, HL-2361DN, HL-2366DW, MFC-L2701D, MFC-L2701DW (hàng nhập khẩu 100%)",4645509166879,113900,113900,0,0,available,1019,1000.0,1000.0,111461,OEM
1508,67619329,KEO Tản Nhiệt Cooler Master Mastergel Pro V2 - Hàng Chính Hãng,9813910844135,97000,108000,11000,10,available,1074,1000.0,1000.0,18991,Cooler Master
1509,74561661,Bộ Chuyển Đổi USB Wifi TP-Link TL-WN727N Chuẩn N 150Mbps - Hàng Chính Hãng,3939315874143,129000,239000,110000,46,available,726,1000.0,1000.0,27464,TP-Link
1510,9979633,Sạc dành cho Laptop Dell chân kim nhỏ 19.5V - 4.62A- 90w,3087320618730,220000,220000,0,0,available,212,1000.0,1000.0,111461,OEM
